X,Y,id,vertex_index,vertex_part,vertex_part_index,distance,angle
527582.595,-1063946.472,,17,0,17,262504.49143564200494,45.00000000000044
519921.9452,-1071607.121,,16,0,16,251670.69664298041607,35.78252558853922
517368.3953,-1076714.221,,15,0,15,245960.78543503332185,30.63010235415585
513538.0704,-1082246.913,,14,0,14,239231.59054317916161,30.63010235415561
510558.9289,-1088205.196,,13,0,13,232570.02746724078315,29.65013872459282
506728.604,-1094163.479,,12,0,12,225486.77067442645784,48.08508754751502
492258.4878,-1101398.537,,11,0,11,209308.68891857628478,64.49549702125240
482895.4714,-1105654.454,,10,0,10,199023.80188696476398,64.99804002387968
473106.8634,-1110335.962,,9,0,9,188173.30115563244908,60.11216634786986
462467.072,-1117571.02,,8,0,8,175306.63004025921691,46.73926916712614
455232.0139,-1126934.036,,7,0,7,163473.95741080713924,39.84072648125273
443741.0393,-1139701.786,,6,0,6,146296.70709756159340,33.21558363811647
435229.2062,-1158427.819,,5,0,5,125726.93303433866822,20.52546767951683
427994.1481,-1182686.543,,4,0,4,100412.27782816538820,19.33744007051346
421610.2733,-1198433.434,,3,0,3,83420.56104089098517,22.26241928117605
408416.932,-1230352.808,,2,0,2,48882.02182474175788,26.10091014844231
398202.7323,-1248227.658,,1,0,1,28294.64418614206079,36.76300303090558
378625.5163,-1268656.057,,0,0,0,0,43.78112476486879